"f1_player_id","attempts","recoveries","xRecoveries","RAE","RAE_per_attempt","player_effect","success_rate","player_name","last_name","first_name","handed","birth_date","position_group","primary_position"
NA,4233,1446,1433.69105912109,12.3089408789131,0.00290785279445147,0.00290785279445146,0.341601700921332,NA,NA,NA,NA,NA,NA,NA
"23033c23-8f41-970b-8423-7c1eef91ab38",30,19,10.4223547614244,8.57764523857556,0.285921507952519,0.285921507952519,0.633333333333333,"Ratcliffe, Isaac","Ratcliffe","Isaac","L",1999-02-15,"F","LW"
"60a256f4-156e-1e04-ed00-29e7b5fc2243",32,18,11.0832521748008,6.91674782519922,0.216148369537476,0.216148369537476,0.5625,"Bourque, Gabriel","Bourque","Gabriel","L",1990-09-23,"F","LW"
"ebf31f99-7cf9-b77d-1a16-1da7f96aed4c",26,15,8.40900380956419,6.59099619043581,0.2534998534783,0.2534998534783,0.576923076923077,"Halonen, Brian","Halonen","Brian","R",1999-01-11,"F","F"
"eae0f98c-c856-b1d8-3723-60b369cbf5c9",34,18,11.5607986905858,6.43920130941424,0.189388273806301,0.189388273806301,0.529411764705882,"Hardman, Mike","Hardman","Mike","L",1999-02-05,"F","LW"
"efe32eee-dd5c-b72b-7da9-d193d8e04efc",31,16,10.2073890377618,5.79261096223815,0.186858418136715,0.186858418136715,0.516129032258065,"Klapka, Adam","Klapka","Adam","R",2000-09-14,"F","RW"
"a498fb15-dea2-c999-7f8c-63aa786b7bb7",36,17,11.3488117667546,5.6511882332454,0.156977450923483,0.156977450923483,0.472222222222222,"Gambardella, Joseph","Gambardella","Joseph","L",1993-12-01,"F","C"
"71bee4d1-8889-3ec6-e934-ef86eca81be9",25,14,8.63438369051444,5.36561630948556,0.214624652379422,0.214624652379422,0.56,"Walcott, Daniel","Walcott","Daniel","L",1994-02-19,"F","LW"
"8d839886-a557-ba77-cbae-bc2af117408e",36,17,11.6987896765721,5.3012103234279,0.147255842317442,0.147255842317442,0.472222222222222,"Teasdale, Joel","Teasdale","Joel","L",1999-03-11,"F","LW"
"1fe967f3-4573-d760-8359-eb0d9acc3756",27,15,9.74884189461729,5.25115810538271,0.194487337236397,0.194487337236397,0.555555555555556,"Wall, Kevin","Wall","Kevin","R",2000-02-01,"F","RW"
"2edb2923-a2c9-13d1-fa88-d6659c99b38e",38,18,13.1150406057712,4.88495939422883,0.128551563006022,0.128551563006022,0.473684210526316,"Malott, Jeff","Malott","Jeff","L",1996-08-07,"F","LW"
"a7b49f9f-e2f6-f3c2-9e38-58a8cafb36e2",27,14,9.15909566778479,4.84090433221521,0.179292753045008,0.179292753045008,0.518518518518518,"Afanasyev, Egor","Afanasyev","Egor","L",2001-01-23,"F","LW"
